ID,EDUCATION,NAME,GENDER,AGE,SSC,HSC,MCA%,MCA%R,ACADEMICGAP,LAB_WORK,SEMINAR,COMMUNICATIONSKILL,GRADBACKGROUND,PLACEMENT
1,Graduate,Peters Brandon,male,23,73.6,65.33,67.43,4,Yes,Yes,Average,Average,CS,1
2,Graduate,Daniel Marie,female,22,86.5,67.83,76.17,6,Yes,Yes,Poor,Good,CS,1
3,Graduate,Dawson Stella,female,21,70.26,64.17,67.8,4,No,Yes,Average,Average,CS,1
4,Graduate,Hamric Alister,female,22,69.89,65.67,76.45,6,No,Yes,Average,Average,CS,1
5,Graduate,Allen William,male,27,61.6,63.17,60.57,3,No,Yes,Poor,Poor,CS,0
6,Graduate,Moran James,male,27,69.73,61.83,63.43,3,Yes,Yes,Poor,Poor,CS,0
7,Graduate,McCarthyTimothy,male,22,84.26,80.67,77.11,6,Yes,Yes,Good,Good,CS,1
8,Graduate,Palsson Gosta,male,21,72.2,66.8,67.46,4,No,Yes,Average,Average,CS,1
9,Graduate,Elisabeth Vilhelmina,female,23,72.4,62.67,68.89,4,Yes,Yes,Average,Average,CS,1
10,Graduate,Nasser Achem,female,21,61.86,56.33,63.46,3,Yes,No,Poor,Poor,Art,0
11,Graduate,Sands Marguerite Rut,female,22,73.6,56.33,63.83,3,Yes,No,Poor,Average,Art,1
12,Graduate,Bonnell Elizabeth,female,21,65.06,49.89,68.54,3,Yes,No,Poor,Poor,Art,0
13,Graduate,Saundercock William,male,23,52.66,69.17,60.29,3,Yes,No,Poor,Poor,Art,0
14,Graduate,Harden George Wesley,male,22,52.86,56.83,74.77,5,No,Yes,Average,Average,CS,0
15,Graduate,Dhoni Mahendra Singh,female,22,73.33,53.67,61.97,3,No,No,Poor,Average,CS,1
16,Graduate,Hewlett D Kingcome) ,female,23,72.97,67.89,74.77,5,No,Yes,Average,Poor,CS,1
17,Graduate,Deventer Paul Van,male,26,68.73,67.83,73.43,5,Yes,Yes,Average,Poor,CS,0
18,Graduate,Williams Charles Eugene,male,26,62.97,54.89,64.77,3,Yes,Yes,Poor,Average,CS,0
19,Graduate,Vander Planke Julius,female,22,82.97,77.89,76.77,5,Yes,Yes,Good,Poor,CS,1
20,Graduate,Masselmani Fatima,female,25,66.86,75.33,43.46,1,Yes,No,Poor,Poor,Art,0
21,Graduate,Fynney Joseph,male,22,62.6,56.33,63.83,3,Yes,No,Poor,Average,Art,0
22,Graduate,Beesley Lawrence,male,23,65.06,47,58.54,2,Yes,No,Poor,Poor,Art,0
23,Graduate,McGowan Anna,female,24,82.66,69.17,60.29,3,Yes,No,Poor,Poor,Art,0
24,Graduate,Sloper William Thompson,male,25,51.86,56.83,74.77,5,Yes,Yes,Average,Average,CS,0
25,Graduate,Haraway Marta Morgan,female,23,73.33,53.67,61.97,3,Yes,No,Poor,Average,CS,1
26,Graduate,Asplund Carl Oscar,female,25,71.97,67.89,74.77,5,Yes,Yes,Average,Poor,CS,0
27,Graduate,Emir Farred Chehab,male,22,68.73,68.83,73.43,5,Yes,Yes,Average,Poor,CS,1
28,Graduate,Fortune Charles Alexander,male,22,68.97,60.89,61.77,3,Yes,Yes,Poor,Average,CS,1
29,Graduate,Dwyer Ellen,female,23,62.97,67.89,76.77,5,Yes,Yes,Good,Poor,CS,0
30,Graduate,Todoroff Lalio,male,23,66.86,76.33,43.46,1,Yes,No,Poor,Poor,Art,0
31,Graduate,Uruchurtu Manue,male,24,73.6,56.33,63.83,3,Yes,No,Poor,Average,Art,0
32,Graduate,Gonzales Lydia,female,25,65.06,45.6,58.54,2,Yes,No,Poor,Poor,Art,0
33,Graduate,Glynn Mary Agatha,female,25,82.66,69.17,60.29,3,No,No,Poor,Poor,Art,0
34,Graduate,Wheadon Edward H,male,25,51.86,56.83,74.77,5,Yes,Yes,Average,Average,CS,0
35,Graduate,Meyer Edgar Joseph,male,23,73.33,53.67,61.97,3,Yes,No,Poor,Average,CS,0
36,Graduate,Holverson Alexander Oskar,male,24,72.97,67.89,74.77,5,No,Yes,Average,Poor,CS,0
37,Graduate,Hook Thomas,male,25,68.73,67.83,73.43,5,No,Yes,Average,Poor,CS,0
38,Graduate,Cann Ernest Charles,male,25,67.97,59.89,60.34,3,Yes,Yes,Poor,Average,CS,0
39,Graduate,Robertson Amali,female,25,62.97,67.89,58.54,2,No,Yes,Good,Poor,CS,0
40,Graduate,Johnson Adelyn Elise,female,25,73.6,65.33,67.43,4,No,Yes,Average,Average,CS,0
